player_id,3/20/2025,3/21/2025,3/22/2025,3/23/2025,3/27/2025,3/28/2025,3/29/2025,3/30/2025,4/5/2025,4/7/2025
230,Clemson,,,,,,,,,
231,Gonzaga,Oregon,Purdue,Maryland,Arkansas,,,,,
232,Wisconsin,Illinois,Texas A&M,,,,,,,
233,Yale,,,,,,,,,
234,Wisconsin,,,,,,,,,
235,Wisconsin,Alabama,Houston,Maryland,Texas Tech,Michigan State,Auburn,Tennessee,,
236,Michigan,Iowa State,Purdue,Maryland,Alabama,Michigan State,Tennessee,Auburn,,
237,Gonzaga,Oregon,St. John's,,,,,,,
238,Texas Tech,Alabama,Wisconsin,,,,,,,
239,UC San Diego,,,,,,,,,
240,Wisconsin,Connecticut,Texas Tech,Illinois,,,,,,
241,Gonzaga,Oregon,Michigan,Michigan State,Alabama,Auburn,Florida,Tennessee,,
242,Purdue,Kentucky,St. John's,,,,,,,
243,Louisville,,,,,,,,,
244,Gonzaga,Oregon,Texas A&M,,,,,,,
245,Kansas,,,,,,,,,
246,Kansas,,,,,,,,,
247,Arkansas,North Carolina,,,,,,,,
248,Missouri,,,,,,,,,
249,Texas Tech,Iowa State,Purdue,Maryland,Alabama,Michigan State,Auburn,Houston,,
250,St. John's,Kentucky,Purdue,Maryland,Arkansas,,,,,
251,Texas Tech,Arizona,Texas A&M,,,,,,,
252,Gonzaga,Connecticut,St. John's,,,,,,,
253,Creighton,Connecticut,BYU,Michigan State,Arkansas,,,,,
254,Texas Tech,Alabama,Tennessee,Michigan State,BYU,,,,,
255,Wisconsin,Oregon,Purdue,Maryland,Texas Tech,Michigan State,Houston,Auburn,,
256,Missouri,,,,,,,,,
257,Texas A&M,Kentucky,Texas Tech,Michigan State,Alabama,Houston,Auburn,Tennessee,,
258,Wisconsin,Kentucky,Texas Tech,Maryland,Alabama,Michigan State,Auburn,Duke,,
259,BYU,Connecticut,Texas A&M,,,,,,,
260,Missouri,,,,,,,,,
261,Texas Tech,Maryland,St. John's,,,,,,,
262,Michigan,Oregon,Tennessee,Illinois,,,,,,
263,Kansas,,,,,,,,,
264,Purdue,Arizona,McNeese State,,,,,,,
265,Michigan,Mississippi State,,,,,,,,
266,Missouri,,,,,,,,,
267,St. John's,Iowa State,Texas Tech,Alabama,BYU,,,,,
268,UCLA,North Carolina,,,,,,,,
269,Texas A&M,Arizona,Texas Tech,Maryland,Arkansas,,,,,
270,Wisconsin,Maryland,Texas Tech,Michigan State,Duke,Auburn,Florida,Tennessee,,
271,VCU,,,,,,,,,
272,Texas Tech,Iowa State,Tennessee,Maryland,Alabama,Michigan State,Houston,Auburn,,
273,Gonzaga,Kentucky,Texas Tech,Illinois,,,,,,
274,Wisconsin,Kentucky,Texas Tech,Maryland,Arkansas,,,,,
275,Wisconsin,Marquette,,,,,,,,
276,Gonzaga,Memphis,,,,,,,,
277,VCU,,,,,,,,,
278,UC San Diego,,,,,,,,,
279,Texas Tech,Iowa State,St. John's,,,,,,,
280,Clemson,,,,,,,,,
281,Houston,Florida,,,,,,,,
282,Gonzaga,Oregon,Michigan,Iowa State,,,,,,
283,Clemson,,,,,,,,,
284,Yale,,,,,,,,,
285,Texas Tech,Arizona,Auburn,Maryland,Florida,Michigan State,Tennessee,Duke,,
286,Michigan,Baylor,Texas A&M,,,,,,,
287,Wisconsin,Iowa State,St. John's,,,,,,,
288,St. John's,Iowa State,Texas A&M,,,,,,,
289,Gonzaga,North Carolina,,,,,,,,
290,St. John's,Kentucky,Purdue,Maryland,Texas Tech,Michigan State,Tennessee,Florida,,
291,BYU,Oregon,Purdue,Maryland,Alabama,Michigan State,Auburn,Duke,,
292,Gonzaga,Marquette,,,,,,,,
293,UCLA,Colorado State,Texas A&M,,,,,,,
294,Wisconsin,Connecticut,St. John's,,,,,,,
295,UCLA,Colorado State,BYU,Illinois,,,,,,
296,Clemson,,,,,,,,,
297,Gonzaga,Iowa State,St. John's,,,,,,,
298,St. John's,Arizona,Texas A&M,,,,,,,
299,Tennessee,Alabama,St. John's,,,,,,,
300,Gonzaga,Kentucky,Texas Tech,Maryland,BYU,,,,,
301,Wisconsin,Iowa State,St. John's,,,,,,,
302,VCU,,,,,,,,,
303,Tennessee,Iowa State,Wisconsin,,,,,,,
304,Wisconsin,Michigan State,St. John's,,,,,,,
305,Gonzaga,Maryland,Purdue,Illinois,,,,,,
306,Wisconsin,Kentucky,BYU,Illinois,,,,,,
307,Clemson,,,,,,,,,
308,Gonzaga,Arizona,Texas Tech,Maryland,Arkansas,,,,,
